LIDNUM	NAME	LATSTR	LONGSTR	LAT	LONG	ALTITUDE	MAX_AGE	BFA_MAX	BFA_MAX_ABS	FRAC_MAX	MIN_AGE	BFA_MIN	BFA_MIN_ABS	FRAC_MIN	CHRON	AGE_COMM	BASIN	SUBBASIN	COUNTRY	STATE	COUNTY	APNUMSPM	GENERAL	LOC_SYNONYMS	MEAN_HYPSODONTY	ESTIMATE_PRECIP	ESTIMATE_TEMP	ESTIMATE_NPP	PERS_WOODY_COVER	PERS_POLLEN_AP	PERS_POLLEN_NAP	PERS_POLLEN_OTHER	SIDNUM	ORDER	FAMILY	GENUS	SPECIES	SUBCLASSORSUPERORDER	SUBORDERORSUPERFAMILY	SUBFAMILY	UNIQUE	TAXON_STATUS	ID_STATUS	ADD_INFO	SOURCE_NAME	LS_MICROWEAR	LS_MESOWEAR	LS_MESOWEAR_SCORE	LS_MW_OR_HIGH	LS_MW_OR_LOW	LS_MW_CS_SHARP	LS_MW_CS_ROUND	LS_MW_CS_BLUNT	SVLENGTH	BODYMASS	SXDIMSZE	SXDIMDIS	TSHM	TCRWNHT	HORIZODONTY	CROWNTYP	CUSP_SHAPE	CUSP_COUNT_BUCCAL	CUSP_COUNT_LINGUAL	LOPH_COUNT_LON	LOPH_COUNT_TRS	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	MICROWEAR	MESOWEAR	MESOWEAR_SCORE	MW_OR_HIGH	MW_OR_LOW	MW_CS_SHARP	MW_CS_ROUND	MW_CS_BLUNT	DIET_1	DIET_2	DIET_3	LOCOMO1	LOCOMO2	LOCOMO3	SPCOMMENT	SP_SYNONYM	SP_SYNONYM_COMMENT	HOMININ_BONES	BIPEDAL_FOOTPRINTS	CUTMARKS	STONE_TOOLS	TECHNOLOGICAL_MODE_1	TECHNOLOGICAL_MODE_2	TECHNOLOGICAL_MODE_3	CULTURAL_STAGE_1	CULTURAL_STAGE_2	CULTURAL_STAGE_3	REGIONAL_CULTURE_1	REGIONAL_CULTURE_2	REGIONAL_CULTURE_3
20392	La Puebla de Valverde	40 12 0 N	0 54 0 W	40.2	-0.9	\N	2.5	mn17	\N	\N	1.9	mn17	\N	\N			Iberian Range	\N	Spain			\N		\N	1.91	\N	16.7	851	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20398	Huélago	37 25 00 N	03 15 00 W	37.417	-3.25	\N	3.55	mn16	\N	\N	2.5	mn16	\N	\N			Betic Cordillera	\N	Spain		Granada	\N		Huelago	2.25	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20470	Kisláng	46 34 48 N	18 13 48 E	46.58	18.23	\N	3.55	mn16	\N	\N	2.5	mn16	\N	\N			Pannonian	\N	Hungary		Fejér	\N		Kislang	2.25	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20487	Fonelas	37 15 0 N	3 6 0 W	37.25	-3.1	\N	1.9	biharian	\N	1:6	1.6666666666667	biharian	\N	1:6		Associated with MNQ18: age estimates range between 2 Ma and 1.7 Ma (fossil correlation and magnetostraphic dating)&nbsp;	Betic Cordillera	\N	Spain			2000		\N	2.17	\N	16.2	793	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20582	Pietris	44 31 48 N	24 0 0 E	44.53	24	\N	2.5	mn17	\N	\N	1.9	mn17	\N	\N			Moesian Platform	\N	Romania			\N		Tetoiu 1- La Pietris	2.00	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20583	Graunceanu	46 0 0 N	26 0 0 E	46	26	\N	3.55	villafranchian	\N	\N	1.9	villafranchian	\N	\N		Middle Villafranchian: MN17/MQ18	Southern Carpathians	\N	Romania			\N		Tetoiu1-Valea Graunceanului	1.91	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20635	Youhe	34 30 00 N	109 30 00 E	34.5	109.5	\N	3.4	mazegouan	\N	\N	2.6	mazegouan	\N	\N	Youhean	likely younger than Mazegou &amp; possibly older than Haiyan MN 17 sites	Fenwei	Weihe	China	Shaanxi	Weinan	\N	n	\N	2.20	\N	\N	\N	\N	\N	\N	\N	31368	Proboscidea	Elephantidae	Mammuthus	rumanus	Eutheria	\N		-	\N	\N	\N	Elephas youheensis * from merge	\N	\N		\N	\N	\N	\N	\N	\N	5792170	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	br/gr	te	surficial	graviportal	\N	Elephas youheensis	synonym of Mammuthus rumanus (Lister et al. 2005)	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20663	Oksukon	40 31 00 N	70 24 00 E	40.517	70.4	\N	2.45	villanyian	\N	3:3	1.9	villanyian	\N	3:3			Fergana	\N	Tajikistan	near Hodzhent		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	species id uncertain	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20710	Coupet	45 4 48 N	3 19 48 E	45.08	3.33	\N	2.5	mn17	\N	\N	1.9	mn17	\N	\N			\N	\N	France			\N	n	Le Coupet	1.91	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
20711	Chilhac	45 5 24 N	3 16 12 E	45.09	3.27	\N	2.5	mn17	\N	\N	1.9	mn17	\N	\N			\N	\N	France			\N	n	\N	2.00	\N	17.6	951	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
