LIDNUM	NAME	LATSTR	LONGSTR	LAT	LONG	ALTITUDE	MAX_AGE	BFA_MAX	BFA_MAX_ABS	FRAC_MAX	MIN_AGE	BFA_MIN	BFA_MIN_ABS	FRAC_MIN	CHRON	AGE_COMM	BASIN	SUBBASIN	COUNTRY	STATE	COUNTY	APNUMSPM	GENERAL	LOC_SYNONYMS	MEAN_HYPSODONTY	ESTIMATE_PRECIP	ESTIMATE_TEMP	ESTIMATE_NPP	PERS_WOODY_COVER	PERS_POLLEN_AP	PERS_POLLEN_NAP	PERS_POLLEN_OTHER	SIDNUM	ORDER	FAMILY	GENUS	SPECIES	SUBCLASSORSUPERORDER	SUBORDERORSUPERFAMILY	SUBFAMILY	UNIQUE	TAXON_STATUS	ID_STATUS	ADD_INFO	SOURCE_NAME	LS_MICROWEAR	LS_MESOWEAR	LS_MESOWEAR_SCORE	LS_MW_OR_HIGH	LS_MW_OR_LOW	LS_MW_CS_SHARP	LS_MW_CS_ROUND	LS_MW_CS_BLUNT	SVLENGTH	BODYMASS	SXDIMSZE	SXDIMDIS	TSHM	TCRWNHT	HORIZODONTY	CROWNTYP	CUSP_SHAPE	CUSP_COUNT_BUCCAL	CUSP_COUNT_LINGUAL	LOPH_COUNT_LON	LOPH_COUNT_TRS	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	MICROWEAR	MESOWEAR	MESOWEAR_SCORE	MW_OR_HIGH	MW_OR_LOW	MW_CS_SHARP	MW_CS_ROUND	MW_CS_BLUNT	DIET_1	DIET_2	DIET_3	LOCOMO1	LOCOMO2	LOCOMO3	SPCOMMENT	SP_SYNONYM	SP_SYNONYM_COMMENT	HOMININ_BONES	BIPEDAL_FOOTPRINTS	CUTMARKS	STONE_TOOLS	TECHNOLOGICAL_MODE_1	TECHNOLOGICAL_MODE_2	TECHNOLOGICAL_MODE_3	CULTURAL_STAGE_1	CULTURAL_STAGE_2	CULTURAL_STAGE_3	REGIONAL_CULTURE_1	REGIONAL_CULTURE_2	REGIONAL_CULTURE_3
21892	Anabar-Olenek: Olenekskaja r.	70 30 0 N	122 0 0 E	70.5	122	\N	0.024	\N	C14	\N	0.015	\N	C14	\N	Late Weichselian		Anabar - Olenek High	\N	Russia	Yakutia		\N		Olenekskaja protoka	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21894	Kolyma river	68 0 0 N	160 0 0 E	68	160	\N	0.0331	\N	C14	\N	0.0269	\N	C14	\N		26900+-400: 33100+-400	\N	\N	Russia	Yakutia		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21896	Vilyuj r. Pleist	63 0 0 N	117 0 0 E	63	117	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Vilyuy	\N	Russia	Yakutija		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21897	Galchikha river	71 42 0 N	84 0 0 E	71.7	84	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Yenisey - Khatanga	\N	Russia	r. Enisej basin		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21898	Yarubej river	67 30 0 N	70 0 0 E	67.5	70	\N	0.0254	\N	C14	\N	0.0254	\N	C14	\N	Late Weichselian		Central Sub-basin - West Siberia	\N	Russia	Yamal peninsula	with r. Shchuchja	\N		Jamal p-la: Jarubej r.: Jurubej r.: Yamal p-la: Yurubej r.: Yuribej r.	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21899	Boganida river	71 0 0 N	97 0 0 E	71	97	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Yenisey - Khatanga	\N	Russia	r. Khatanga basin		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21900	Turukhanskij B.	65 28 12 N	87 34 12 E	65.47	87.57	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Yenisey/Bor Sub-basin - West Siberia	\N	Russia			\N		Tolstyj Nos village	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21903	Pish river	59 0 0 N	92 18 0 E	59	92.3	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	\N	\N	Russia	Krasnojarskij reg.	on r. Podkam: Tunguz	\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21904	Ob river: Obdorsk	66 0 0 N	67 0 0 E	66	67	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Central Sub-basin - West Siberia	\N	Russia	Krasnojarskij reg.		\N		Obdorsk Ob' river: Salekhard	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21906	Tavda river	58 36 0 N	63 30 0 E	58.6	63.5	\N	0.0419	\N	C14	\N	0.0419	\N	C14	\N			Central Sub-basin - West Siberia	\N	Russia	Sverdlovsk reg.	r. Tobol basin	\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21907	Pyshma river	57 0 0 N	64 30 0 E	57	64.5	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Central Sub-basin - West Siberia	\N	Russia	P. Tyumenskij reg.	Koshagalskij	\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21908	Tura river	57 12 36 N	66 57 0 E	57.21	66.95	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene		Central Sub-basin - West Siberia	\N	Russia	Tyumenskij reg.		\N		\N	2.80	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21912	Usa river	66 18 0 N	59 18 0 E	66.3	59.3	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Timan - Pechora	\N	Russia	r. Pechora basin		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21913	Sokolova village	65 4 12 N	57 3 36 E	65.07	57.06	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Timan - Pechora	\N	Russia	r. Pechora basin	Pechorskij	\N		Sokolova (vilage of)	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21914	Kanin Nos village	65 30 0 N	57 30 0 E	65.5	57.5	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Timan - Pechora	\N	Russia	r. Pechora basin		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21915	Sura river	63 0 0 N	45 12 0 E	63	45.2	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	Arkhangelsk area	r. Pinega basin: lef	\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21916	Iljinskoe village	61 12 0 N	47 12 0 E	61.2	47.2	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	Vilegodskij reg.	r. Viledi basin	\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21917	Igumnovskaja v.	60 48 0 N	43 0 0 E	60.8	43	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	r. Vaga: Koktenga b		\N		Vaga river: Kokten' b	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21918	Semzha river	59 42 0 N	41 30 0 E	59.7	41.5	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	Vologodskaja reg.	r. Kubina basin	\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21919	Kamchuga	60 0 0 N	43 6 0 E	60	43.1	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	r. Sukhona basin		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21920	Vozdvizhenka river	60 36 0 N	45 0 0 E	60.6	45	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	r. Sukhona basin lef		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21921	Ust-Sysolsk	61 36 0 N	52 0 0 E	61.6	52	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia			\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21922	Yagorba river	59 18 0 N	37 0 0 E	59.3	37	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	Cherepovets		\N		Jagorba river	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21924	Mezinskaja	51 36 0 N	32 30 0 E	51.6	32.5	\N	0.029	\N	C14	\N	0.0151	\N	C14	\N	Weichselian	Aurignacian: Soluterian	\N	\N	Ukraine	Chernigov area	r. Desna basin	\N		\N	2.50	\N	\N	\N	\N	\N	\N	\N	25288	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		minor	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	\N	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	\N	\N	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21928	Galich	58 22 48 N	42 21 0 E	58.38	42.35	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Moscow	\N	Russia	Kostroma area		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21929	Nikitinskoe	58 18 0 N	55 0 0 E	58.3	55	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Volga - Urals	\N	Russia	R. Kama: Inva basin		\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21930	Kemolka river	58 36 0 N	55 36 0 E	58.6	55.6	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene	\N	Volga - Urals	\N	Russia	Perm area: Solikams	r. Kama: Inva basin	\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21939	Prolom 2	45 7 0 N	34 42 0 E	45.1167	34.7	\N	0.115	weichselian	\N	1:2	0.0625	weichselian	\N	1:2	Early Weichselian	Mousterian: early Weichselian: ~70.000	Karkinitsk	\N	Russia	Crimea	Belogorskij reg.	\N		\N	2.64	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21940	Gmelinskaja Kostenki 21 lower	50 57 36 N	39 42 0 E	50.96	39.7	\N	0.029	\N	TL	\N	0.0169	\N	C14	\N	26765 -21260ya	26765+-2000 TL: C14 (GrN-10513) 21260 +-340: 16960+-300 (LE-1043): 22270+-150(GrN-7363)	\N	\N	Russia	r. Don basin		\N		Kostenki 21	2.60	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21941	Geographical Society cave l4-5	42 55 12 N	133 3 0 E	42.92	133.05	\N	0.115	weichselian	\N	\N	0.033	\N	C14	\N	Weichselian	&gt;40000 AMS: early Upper Palaeolithic: late Pleistocene	\N	\N	Russia	Southern Far East	Primorskij reg.	\N		\N	2.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21950	Strekov	47 53 00 N	18 26 00 E	47.883	18.433	\N	3.55	mn16	\N	\N	1.9	mn17	\N	\N			Pannonian	\N	Slovakia			\N		\N	1.38	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21951	Nova Vieska	47 52 00 N	18 27 00 E	47.867	18.45	\N	3.55	mn16	\N	\N	1.9	mn17	\N	\N			Pannonian	\N	Slovakia			\N		\N	1.38	\N	\N	\N	\N	\N	\N	\N	21211	Proboscidea	Elephantidae	Mammuthus	meridionalis	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N		9843577	n	n	lam	hyp	hyp	LMM0M	L	M	M	0	M	0	1	0	1	1	\N	\N		\N	\N	\N	\N	\N	p	herbivore	graze	te	surficial	graviportal	\N	Elephas moghrebiensis:Elephas maghrebiensis	* merged from species_id 34751	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21955	Minsk	52 57 36 N	27 30 0 E	52.96	27.5	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene		Pripyat	\N	Belarus			\N		\N	3.00	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21958	Chokurcha I cave	45 0 0 N	33 46 12 E	45	33.77	\N	0.08	\N	C14	\N	0.06	\N	C14	\N	Eemian?	middle Paleolithic complex: late Moustertian	Karkinitsk	\N	Ukraine	Crimea		5501		Chokircha I	2.64	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
21962	Orsha	55 0 0 N	30 0 0 E	55	30	\N	0.129	latepleistocene	\N	\N	0.0117	latepleistocene	\N	\N	Late Pleistocene		\N	\N	Belarus			\N		\N	2.33	\N	\N	\N	\N	\N	\N	\N	25032	Proboscidea	Elephantidae	Mammuthus	primigenius	Eutheria	\N		-	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	2m-5m	4357667	\N	\N	lam	hyp	\N	LMM0M	L	M	M	0	M	\N	\N	\N	\N	\N	\N	\N		\N	\N	\N	\N	\N	p	herbivore	\N	te	surficial	graviportal	\N	\N	\N	0	0	0	0	\N	\N	\N	\N	\N	\N	\N	\N	\N
